"snapshot_timestamp","weight_before","weight_after","water_amount_g","job","id_tag","snapshot_id","measurement_label"
"2019-07-31 08:33:03-07","160.8","180.3","20","watering","D2","4291000","GoldStandard2_water"
"2019-07-31 08:37:56-07","159.033","178.799","20","watering","D3","4291100","GoldStandard2_water"
"2019-07-31 08:32:08-07","171.8","191.435","20","watering","D5","4291200","GoldStandard2_water"
"2019-07-31 08:09:44-07","155.433","174.432","20","watering","D6","4291300","GoldStandard2_water"
"2019-07-31 08:10:41-07","168.067","187.066","20","watering","D7","4291400","GoldStandard2_water"
"2019-07-31 08:34:03-07","155.567","174.869","20","watering","E1","4291500","GoldStandard2_water"
"2019-07-31 08:22:26-07","159.6","180.198","20","watering","E2","4291600","GoldStandard2_water"
"2019-07-31 08:01:39-07","164.8","184","20","watering","E3","4291700","GoldStandard2_water"
"2019-07-31 08:14:37-07","167.4","186.866","20","watering","E4","4291800","GoldStandard2_water"
"2019-07-31 08:16:28-07","166.9","186.601","20","watering","E5","4291900","GoldStandard2_water"
"2019-07-31 08:31:12-07","167.1","187.401","20","watering","E6","4292000","GoldStandard2_water"
"2019-07-31 08:11:36-07","167.433","186.732","20","watering","E7","4292100","GoldStandard2_water"
"2019-07-31 08:08:43-07","159.6","178.998","20","watering","F1","4292200","GoldStandard2_water"
"2019-07-31 08:18:24-07","161.6","181.1","20","watering","F2","4292300","GoldStandard2_water"
"2019-07-31 08:05:41-07","162.7","181.866","20","watering","F3","4292400","GoldStandard2_water"
"2019-07-31 08:24:16-07","167","187.367","20","watering","F4","4292500","GoldStandard2_water"
"2019-07-31 08:36:52-07","153.9","173.7","20","watering","F5","4292600","GoldStandard2_water"
"2019-07-31 08:19:23-07","156.8","176.702","20","watering","F6","4292700","GoldStandard2_water"
"2019-07-31 08:28:09-07","166.6","185.899","20","watering","F7","4292800","GoldStandard2_water"
