Date Time UTC;T - Actual [°C];T - Average [°C];RH - Actual [%];RH - Average [%];CO2 - Actual [ppm];CO2 - Average [ppm];PAR - Actual [µmol/m²/s];PAR - Average [µmol/m²/s]
7/12/2019 13:33:30;21.6605616605617;21.6593406593407;47.5702075702076;46.2417582417582;438.339438339438;442.002442002442;-4.85;-4.85
7/12/2019 13:34:30;21.6727716727717;21.6703296703297;45.2747252747253;46.4810744810745;446.886446886447;442.490842490842;-4.85;-4.85
7/12/2019 13:35:30;21.7216117216117;21.6886446886447;47.4236874236874;46.8937728937729;442.002442002442;443.101343101343;-4.85;-4.85
7/12/2019 13:36:30;21.7216117216117;21.7228327228327;46.1294261294261;45.992673992674;446.886446886447;447.619047619048;-4.85;-4.85
7/12/2019 13:37:30;21.7460317460317;21.7545787545788;45.6898656898657;46.8742368742369;452.991452991453;438.583638583639;-4.85;-4.85
7/12/2019 13:38:30;21.7338217338217;21.7557997557998;45.8852258852259;44.6520146520146;439.56043956044;445.421245421245;-4.85;-4.85
7/12/2019 13:39:30;21.6727716727717;21.7155067155067;44.3956043956044;45.3797313797314;435.897435897436;433.699633699634;-4.85;-4.85
7/12/2019 13:40:30;21.6239316239316;21.6471306471306;47.3748473748474;45.7362637362637;435.897435897436;442.002442002442;-4.85;-4.85
7/12/2019 13:41:30;21.6239316239316;21.6239316239316;45.8852258852259;46.8083028083028;434.676434676435;442.612942612943;-4.85;-4.85
7/12/2019 13:42:30;21.6727716727717;21.6495726495726;47.7167277167277;47.2673992673993;440.781440781441;440.41514041514;-4.85;-4.85
7/12/2019 13:43:30;21.6849816849817;21.6886446886447;45.6654456654457;45.6361416361416;442.002442002442;441.391941391941;-4.85;-4.85
7/12/2019 13:44:30;21.7094017094017;21.7142857142857;45.6654456654457;46.3736263736264;442.002442002442;441.514041514041;-4.85;-4.85
7/12/2019 13:45:30;21.6727716727717;21.6923076923077;46.3247863247863;45.030525030525;438.339438339438;439.072039072039;-4.85;-4.85
7/12/2019 13:46:30;21.6483516483517;21.6617826617827;44.4200244200244;45.8192918192918;438.339438339438;439.80463980464;-4.85;-4.85
7/12/2019 13:47:30;21.5995115995116;21.6117216117216;47.960927960928;46.2588522588522;435.897435897436;436.874236874237;-4.85;-4.85
7/12/2019 13:48:30;21.6483516483517;21.6324786324786;46.959706959707;47.7142857142857;433.455433455433;436.874236874237;-4.85;-4.85
7/12/2019 13:49:30;21.7338217338217;21.7008547008547;47.6678876678877;47.8266178266178;440.781440781441;437.851037851038;-4.85;-4.85
7/12/2019 13:50:30;21.7826617826618;21.7680097680098;45.2503052503053;45.2991452991453;440.781440781441;439.438339438339;-4.85;-4.85
7/12/2019 13:51:30;21.7826617826618;21.7887667887668;45.1526251526252;46.014652014652;440.781440781441;440.537240537241;-4.85;-4.85
7/12/2019 13:52:30;21.7216117216117;21.7509157509157;45.7631257631258;44.3076923076923;439.56043956044;436.507936507937;-4.85;-4.85
7/12/2019 13:53:30;21.6727716727717;21.7008547008547;45.2503052503053;46.1318681318681;432.234432234432;432.234432234432;-4.85;-4.85
7/12/2019 13:54:30;21.6239316239316;21.6471306471306;47.5457875457875;46.021978021978;440.781440781441;435.042735042735;-4.85;-4.85
7/12/2019 13:55:36;21.6605616605617;21.6520146520147;46.4957264957265;47.1159951159951;428.571428571429;436.630036630037;-4.85;-4.85
7/12/2019 13:56:36;21.7460317460317;21.7045177045177;46.9108669108669;47.4578754578754;435.897435897436;435.775335775336;-4.85;-4.85
7/12/2019 13:57:36;21.7338217338217;21.7399267399267;45.6410256410256;45.0720390720391;435.897435897436;436.874236874237;-4.85;-4.85
7/12/2019 13:58:36;21.7216117216117;21.7350427350427;44.6398046398046;45.7948717948718;440.781440781441;439.92673992674;-4.85;-4.85
7/12/2019 13:59:36;21.6605616605617;21.6800976800977;46.6910866910867;45.2844932844933;440.781440781441;433.211233211233;-4.85;-4.85
7/12/2019 14:00:36;21.6605616605617;21.6593406593407;45.8119658119658;46.5372405372405;428.571428571429;437.362637362637;-4.85;-4.85
7/12/2019 14:01:36;21.6849816849817;21.6739926739927;47.9120879120879;47.0891330891331;435.897435897436;437.362637362637;-4.85;-4.85
7/12/2019 14:02:36;21.7338217338217;21.7191697191697;45.3968253968254;45.8070818070818;438.339438339438;438.461538461538;-4.85;-4.85
7/12/2019 14:03:36;21.7460317460317;21.7338217338217;45.7631257631258;46.3223443223443;432.234432234432;435.286935286935;-4.85;-4.85
7/12/2019 14:04:36;21.7094017094017;21.7167277167277;46.0805860805861;44.9230769230769;439.56043956044;439.438339438339;-4.85;-4.85
7/12/2019 14:05:36;21.6605616605617;21.6923076923077;44.6886446886447;45.985347985348;444.444444444444;441.391941391941;-4.85;-4.85
7/12/2019 14:06:42;21.6117216117216;21.6336996336996;47.5213675213675;45.8241758241758;445.665445665446;442.368742368742;-4.85;-4.85
7/12/2019 14:07:42;21.6483516483517;21.6385836385836;46.6666666666667;47.1428571428571;439.56043956044;441.636141636142;-4.85;-4.85
7/12/2019 14:08:42;21.7338217338217;21.6837606837607;48.0830280830281;48.01221001221;432.234432234432;438.583638583639;-4.85;-4.85
7/12/2019 14:09:42;21.7704517704518;21.7472527472527;45.6898656898657;45.7313797313797;439.56043956044;436.385836385836;-4.85;-4.85
7/12/2019 14:10:42;21.7704517704518;21.7777777777778;45.2747252747253;46.3052503052503;433.455433455433;435.042735042735;-4.85;-4.85
7/12/2019 14:11:42;21.7216117216117;21.7435897435897;45.9096459096459;44.5421245421245;434.676434676435;436.141636141636;-4.85;-4.85
7/12/2019 14:12:42;21.6727716727717;21.7045177045177;45.0549450549451;46.051282051282;435.897435897436;434.554334554335;-4.85;-4.85
7/12/2019 14:13:42;21.6483516483517;21.6556776556777;47.3260073260073;46.1709401709402;435.897435897436;437.484737484737;-4.85;-4.85
7/12/2019 14:14:42;21.6483516483517;21.6495726495726;45.2014652014652;46.1172161172161;435.897435897436;434.432234432234;-4.85;-4.85
7/12/2019 14:15:42;21.6483516483517;21.6446886446886;47.0573870573871;46.9010989010989;439.56043956044;436.752136752137;-4.85;-4.85
7/12/2019 14:16:42;21.6483516483517;21.6520146520147;46.4224664224664;45.7655677655678;435.897435897436;437.851037851038;-4.85;-4.85
